"project","article","timestamp","access","agent","views"
"en.wikipedia","Donald_Trump","2017030100","all-access","user",128762
"en.wikipedia","Donald_Trump","2017030200","all-access","user",84347
"en.wikipedia","Donald_Trump","2017030300","all-access","user",73247
"en.wikipedia","Donald_Trump","2017030400","all-access","user",67912
"en.wikipedia","Donald_Trump","2017030500","all-access","user",75337
"en.wikipedia","Donald_Trump","2017030600","all-access","user",80170
"en.wikipedia","Donald_Trump","2017030700","all-access","user",73193
"en.wikipedia","Donald_Trump","2017030800","all-access","user",68544
"en.wikipedia","Donald_Trump","2017030900","all-access","user",65035
"en.wikipedia","Donald_Trump","2017031000","all-access","user",62064
"en.wikipedia","Donald_Trump","2017031100","all-access","user",58534
"en.wikipedia","Donald_Trump","2017031200","all-access","user",61697
"en.wikipedia","Donald_Trump","2017031300","all-access","user",58681
"en.wikipedia","Donald_Trump","2017031400","all-access","user",57044
"en.wikipedia","Donald_Trump","2017031500","all-access","user",64740
"en.wikipedia","Donald_Trump","2017031600","all-access","user",68400
"en.wikipedia","Donald_Trump","2017031700","all-access","user",65954
"en.wikipedia","Donald_Trump","2017031800","all-access","user",64882
"en.wikipedia","Donald_Trump","2017031900","all-access","user",63023
"en.wikipedia","Donald_Trump","2017032000","all-access","user",70867
"en.wikipedia","Donald_Trump","2017032100","all-access","user",73607
"en.wikipedia","Donald_Trump","2017032200","all-access","user",65665
"en.wikipedia","Donald_Trump","2017032300","all-access","user",62252
"en.wikipedia","Donald_Trump","2017032400","all-access","user",63070
"en.wikipedia","Donald_Trump","2017032500","all-access","user",58588
"en.wikipedia","Donald_Trump","2017032600","all-access","user",55648
"en.wikipedia","Donald_Trump","2017032700","all-access","user",62772
"en.wikipedia","Donald_Trump","2017032800","all-access","user",57661
"en.wikipedia","Donald_Trump","2017032900","all-access","user",56771
"en.wikipedia","Donald_Trump","2017033000","all-access","user",59049
"en.wikipedia","Donald_Trump","2017033100","all-access","user",51607
"en.wikipedia","Donald_Trump","2017040100","all-access","user",47286
"en.wikipedia","Donald_Trump","2017040200","all-access","user",46700
"en.wikipedia","Donald_Trump","2017040300","all-access","user",51293
"en.wikipedia","Donald_Trump","2017040400","all-access","user",58551
"en.wikipedia","Donald_Trump","2017040500","all-access","user",60684
"en.wikipedia","Donald_Trump","2017040600","all-access","user",56095
"en.wikipedia","Donald_Trump","2017040700","all-access","user",78084
"en.wikipedia","Donald_Trump","2017040800","all-access","user",55394
"en.wikipedia","Donald_Trump","2017040900","all-access","user",50493
"en.wikipedia","Donald_Trump","2017041000","all-access","user",51390
"en.wikipedia","Donald_Trump","2017041100","all-access","user",49667
"en.wikipedia","Donald_Trump","2017041200","all-access","user",53537
"en.wikipedia","Donald_Trump","2017041300","all-access","user",52808
"en.wikipedia","Donald_Trump","2017041400","all-access","user",53098
"en.wikipedia","Donald_Trump","2017041500","all-access","user",51602
"en.wikipedia","Donald_Trump","2017041600","all-access","user",50943
"en.wikipedia","Donald_Trump","2017041700","all-access","user",54016
"en.wikipedia","Donald_Trump","2017041800","all-access","user",56399
"en.wikipedia","Donald_Trump","2017041900","all-access","user",53495
"en.wikipedia","Donald_Trump","2017042000","all-access","user",49226
"en.wikipedia","Donald_Trump","2017042100","all-access","user",47409
"en.wikipedia","Donald_Trump","2017042200","all-access","user",42230
"en.wikipedia","Donald_Trump","2017042300","all-access","user",44039
"en.wikipedia","Donald_Trump","2017042400","all-access","user",54781
"en.wikipedia","Donald_Trump","2017042500","all-access","user",61328
"en.wikipedia","Donald_Trump","2017042600","all-access","user",60439
"en.wikipedia","Donald_Trump","2017042700","all-access","user",55928
"en.wikipedia","Donald_Trump","2017042800","all-access","user",59913
"en.wikipedia","Donald_Trump","2017042900","all-access","user",186623
"en.wikipedia","Donald_Trump","2017043000","all-access","user",52767
"en.wikipedia","Donald_Trump","2017050100","all-access","user",54943
"en.wikipedia","Donald_Trump","2017050200","all-access","user",56978
"en.wikipedia","Donald_Trump","2017050300","all-access","user",51451
"en.wikipedia","Donald_Trump","2017050400","all-access","user",52067
